supplier_id,name,contact_name,contact_title,email,phone,address,city,state,zip_code,country,website,industry,primary_dept_id,payment_terms,rating,active_since
SUP001,Fowler Co.,Donald Walker,Owner,rhodespatricia@garza.com,833-589-0838,402 Peterson Drives Apt. 511,Davisstad,PA,35172,USA,www.fowlerco.com,Plant Nurseries,1012,COD,3,2022-07-19
SUP002,Blair Corp.,Valerie Gray,Purchasing Manager,maria95@lee.com,731-564-7525,192 Frank Light Suite 835,East Lydiamouth,MO,35594,Bahrain,www.blaircorp.com,Entertainment Media,1009,Net 30,2,2013-08-09
SUP003,Jasonfort Enterprises,Thomas Ellis,CEO,donald88@burgess-patterson.org,(353)828-7101x2269,784 Erin Crescent Suite 514,Mooretown,VA,94830,USA,www.jasonfortenterprises.com,Jewelry Manufacturing,1010,COD,5,2014-05-23
SUP004,Mason International,Thomas Harrell,Owner,meagan89@hernandez.net,001-380-395-7015x43039,82278 Joseph Well Suite 383,Raymondstad,NV,68340,Korea,www.masoninternational.com,Electronics Manufacturing,1001,Net 90,1,2012-04-03
SUP005,Walker Corp.,Kevin Hall,Account Manager,adrianzimmerman@perez.com,983-547-3829,3116 Henderson Mountain Apt. 106,Laurenville,IA,25613,Comoros,www.walkercorp.com,Automotive Parts,1008,Net 60,5,2018-06-26
SUP006,ChallengeKnowledge Ltd.,Joel Baxter,Sales Representative,ramosmichelle@garcia.com,432-867-7360,4746 Moore Hill,North Beth,ND,08490,USA,www.challengeknowledgeltd.com,Wood Products,1011,Net 60,5,2021-08-29
SUP007,ArtApply International,Kathryn Farrell,CEO,brianromero@jones.com,(719)639-9091x6998,534 Anderson Rue,Stephenland,AL,60569,USA,www.artapplyinternational.com,Computer Hardware,1001,Net 90,3,2019-10-04
SUP008,Hart Co.,Joshua Wagner,Purchasing Manager,sarahibarra@wood.info,+1-649-380-8412,824 Jacobs Stravenue,Jamesview,NY,64533,El Salvador,www.hartco.com,Jewelry Manufacturing,1010,Net 30,5,2024-01-08
SUP009,ThroughoutApproach Corp.,Jeff Hill,Owner,cookdavid@martin-ramos.biz,+1-401-812-8059,45053 Elizabeth Knoll,Dicksonberg,IA,21800,USA,www.throughoutapproachcorp.com,Home Furnishings,1011,COD,2,2025-01-30
SUP010,TalkCost Co.,Allison Doyle,CEO,kimberly63@moore-haynes.biz,2735375433,4145 Frazier Ville Suite 014,New Sydney,KS,05515,Botswana,www.talkcostco.com,Plant Nurseries,1012,Net 90,4,2019-05-23
SUP011,HairShoulder Group,Jessica Joyce,Sales Representative,cruzbarbara@williams-graham.net,+1-635-661-5951,6482 Robert Light Apt. 994,Kelleytown,ME,38107,USA,www.hairshouldergroup.com,Textile Production,1002,Net 30,5,2013-08-05
SUP012,Stevenmouth Co.,Kayla Leon,Purchasing Manager,donnacampbell@schultz.com,+1-543-832-0037x91769,3201 Robinson Unions Suite 083,South Dennismouth,TN,70117,USA,www.stevenmouthco.com,Electronics Manufacturing,1001,Net 30,3,2025-04-04
SUP013,Larson Co.,Stephanie Salazar,Sales Representative,jrivas@merritt-manning.info,643.748.7347x143,122 Patrick Drives Apt. 166,Amychester,AR,27611,USA,www.larsonco.com,Fragrance Production,1005,COD,2,2022-12-07
SUP014,ImproveWest Enterprises,Theresa Smith,Purchasing Manager,wwoods@molina-castaneda.biz,+1-289-837-3467,627 Tina Place Apt. 699,North Dawnberg,VI,61016,USA,www.improvewestenterprises.com,Food Production,1004,Net 90,4,2013-03-02
SUP015,Nicholasborough Inc.,George Hobbs,Purchasing Manager,karen64@ruiz.net,4535100330,1937 Wang Expressway,Port Loriport,CT,76350,USA,www.nicholasboroughinc.com,Furniture Manufacturing,1011,Net 90,1,2010-10-29
SUP016,Collins Co.,Tina Sanders,Sales Representative,charlesvaughn@sanchez.org,790-258-6518,1657 Ryan Street Suite 987,Grahamshire,KY,42746,USA,www.collinsco.com,Entertainment Media,1009,Net 90,4,2023-03-20
SUP017,Rivas LLC,Stephen Sanchez,Purchasing Manager,qhudson@rogers-snyder.com,(273)554-5494,67837 West Brook,West Jeffreybury,ME,87527,USA,www.rivasllc.com,Automotive Parts,1008,Net 30,1,2019-03-01
SUP018,MaterialOn Co.,Jessica Reese,CEO,michael74@king-martinez.com,618-523-3749x89413,40824 Terri Plaza Suite 271,New Justinfort,NV,45158,USA,www.materialonco.com,Textiles,1003,COD,1,2013-03-16
SUP019,Williams Inc.,Karen Short,CEO,kvasquez@parks.com,831-986-9993,9649 Chelsea Streets Apt. 334,East Johnside,CA,21018,USA,www.williamsinc.com,Educational Products,1007,COD,2,2010-06-25
SUP020,Hayes Co.,Doris Hall,Account Manager,jacqueline71@hall.org,+1-636-918-3242x10249,4648 Kim Rapid,South Jessicaview,AK,12471,USA,www.hayesco.com,Electronics Manufacturing,1001,COD,5,2013-11-16
SUP021,RepresentThink International,Laurie Smith,Owner,barbara27@pearson.org,(871)275-6551x25674,54516 Diane Plains Suite 603,Cindyfort,SC,58440,USA,www.representthinkinternational.com,Home Goods Manufacturing,1003,Net 60,1,2021-11-03
SUP022,West Andrea Co.,Jessica Wolfe,Owner,johnsoncrystal@mckinney.net,9866131712,7737 Patrick Rapid Apt. 146,Sarahhaven,KY,00837,USA,www.westandreaco.com,Toy Manufacturing,1007,Net 30,5,2014-09-07
SUP023,Evans International,Yvonne Burns,Sales Representative,seanwashington@arnold-daniels.info,233-496-3605x76627,71870 Robert Shoal Apt. 174,Cindyfurt,SD,11028,USA,www.evansinternational.com,Fitness Equipment,1006,Net 90,2,2023-03-20
SUP024,Phelps Corp.,Jamie Stewart,CEO,cbrennan@jones.com,001-716-711-7240x0504,38692 Gregory Ridge Suite 937,East Steven,KS,60737,USA,www.phelpscorp.com,Office Furnishings,1011,Net 30,1,2014-04-09
SUP025,Port Stevenport LLC,Brooke Alexander,Owner,vanessa46@wright.biz,213.969.5944x0640,95339 Byrd Stravenue Apt. 104,Johnsonstad,VA,17725,USA,www.portstevenportllc.com,Textile Production,1002,Net 90,1,2011-10-17
SUP026,FindGeneral Industries,Casey Anderson,CEO,alyssa42@sloan-raymond.com,001-651-371-2368x5160,4965 Emily Mountains Apt. 985,Lake Bryan,GU,61353,United States of America,www.findgeneralindustries.com,Personal Care Products,1005,Net 90,5,2020-12-15
SUP027,RangeIssue International,Andrew Johnson,Purchasing Manager,pwilson@taylor.net,(592)761-7964x05377,585 Raymond Field,Port Madisonland,TN,28302,Norway,www.rangeissueinternational.com,Computer Hardware,1001,Net 60,3,2020-01-13
SUP028,Maddox LLC,Gavin Zhang,Account Manager,caseyhubbard@willis.com,001-729-504-2284x21020,24026 Julie Mountains Suite 589,South Williamton,VA,86864,USA,www.maddoxllc.com,Outdoor Living,1012,Net 60,3,2018-04-06
SUP029,Ellis Ltd.,Amy Mendoza,Account Manager,gsimmons@joseph-wallace.com,992-812-4998x56984,183 Hayes Forks,Morganmouth,MO,55025,Saint Lucia,www.ellisltd.com,Entertainment Media,1009,Net 30,1,2011-11-13
SUP030,Edwardsview Ltd.,Christian Leblanc,Account Manager,davischristopher@davis-rodgers.com,+1-809-288-5165,451 Eric Orchard Apt. 158,Dannyview,OK,30144,Sri Lanka,www.edwardsviewltd.com,Electronics Manufacturing,1001,Net 90,2,2016-11-16
SUP031,OptionSpeak International,Lisa Day,Owner,lynchdiane@adams.com,850-922-9612x01836,54599 Nicole Drives Apt. 901,Scottchester,NM,80071,USA,www.optionspeakinternational.com,Landscaping Products,1012,Net 30,2,2017-01-26
SUP032,Jasonhaven Industries,Jeffrey Campbell,CEO,trose@walker.com,2349324451,26838 Jones Wall Apt. 607,Port Lawrencechester,OK,53509,USA,www.jasonhavenindustries.com,Watch Making,1010,Net 90,3,2021-01-30
SUP033,KeyFigure Inc.,Alex Nguyen,Sales Representative,xcollier@kim.com,(596)781-6453x52181,231 Jonathan Extensions Apt. 127,Webstershire,NV,89778,USA,www.keyfigureinc.com,Outdoor Equipment,1006,Net 90,5,2024-04-20
SUP034,OtherQuestion Enterprises,Lori Lin,Sales Representative,edward17@welch-hogan.org,7586147700,199 Ford Plaza,South Reginashire,SD,25173,Gibraltar,www.otherquestionenterprises.com,Watch Making,1010,Net 60,4,2019-07-08
SUP035,Mason Industries,Joanna Shepherd,Account Manager,toni18@thompson.info,789.325.5466x59051,4925 Brandi Divide Suite 462,West Angelicamouth,GU,17251,USA,www.masonindustries.com,Game Production,1007,Net 30,4,2020-06-28
SUP036,ThemYour Group,Melissa Fox,CEO,bromero@parker-bean.com,001-473-832-2141x88805,29270 Diaz Stravenue,South Cheryl,WV,98613,USA,www.themyourgroup.com,Beverage Manufacturing,1004,Net 60,2,2022-03-13
SUP037,Young Co.,Vincent Mueller,Account Manager,michealvalentine@murray-campbell.biz,386.623.9240x75818,47826 Stacey Forges,Wilkersontown,MT,07481,Indonesia,www.youngco.com,Educational Products,1007,Net 90,3,2017-12-20
SUP038,South Virginia Enterprises,Alfred Galvan,Purchasing Manager,lacey20@lowery-kennedy.com,001-377-690-1043x28986,1036 Brown Villages,Carlsontown,SC,68052,USA,www.southvirginiaenterprises.com,Office Furnishings,1011,Net 90,2,2019-01-25
