product_id,name,description,dept_id,category,brand,price,cost,stock,reorder_level,supplier_id,weight_kg,dimensions,is_active,date_added,warehouse_id
ELEC-000001,Lenovo Data Smartphone,Activity require or subject. Call meeting green loss per control case.,1001,Smartphones,Lenovo,800.73,348.58,406,61,SUP115,,178x126x52cm,True,2022-07-29,WH02
ELEC-000002,Care Accessorie,Job where senior find those simply challenge final. Fact wife military price certain down.,1001,Accessories,Sony,695.41,420.43,442,131,SUP171,3.34,77x41x183cm,True,2024-11-24,WH03
ELEC-000003,Nikon Operation Gaming,Gas with policy cut attention country.,1001,Gaming,Nikon,1478.44,696.38,262,27,SUP142,23.42,34x157x23cm,True,2023-11-14,WH07
ELEC-000004,Nikon Role Accessorie,Realize system not friend federal forget bit then. Many turn police. Level defense lose shoulder spring.,1001,Accessories,Nikon,643.68,281.67,172,39,SUP116,25.92,,True,2024-11-11,WH03
ELEC-000005,Bose How TV,Contain wrong guy available air boy. Key place tree growth wish.,1001,TVs,Bose,1308.91,727.01,165,21,SUP083,11.35,133x73x21cm,True,2023-01-15,WH05
ELEC-000006,Google Federal TV,Those responsibility fund never condition. Compare energy big.,1001,TVs,Google,823.54,371.08,492,106,SUP044,36.06,145x11x8cm,True,2024-12-08,WH05
ELEC-000007,Asus Certain Audio Equipment,Full decision lay hard. Produce wait with young think there. Budget third capital couple.,1001,Audio Equipment,Asus,8727.31,4919.35,338,98,SUP124,,104x77x117cm,True,2024-01-15,WH01
ELEC-000008,Canon Run TV,Outside with each animal pattern country. Family chance easy picture evidence call meet. Though decide bank likely professional ask meet seem.,1001,TVs,Canon,723.44,320.56,451,109,SUP188,17.33,195x95x132cm,True,2024-05-17,WH06
ELEC-000009,Canon Mr Audio Equipment,Million condition Republican moment low what listen. Husband TV once already detail data tell how. Interesting help church successful effort.,1001,Audio Equipment,Canon,701.91,291.42,494,87,SUP158,48.14,84x148x185cm,True,2022-09-11,WH03
ELEC-000010,Nikon Society Accessorie,Know goal once let perform. Later it happen marriage event agent.,1001,Accessories,Nikon,1324.66,565.65,211,42,SUP062,,13x73x127cm,True,2023-10-08,WH08
ELEC-000011,Nikon Evidence Camera,Top family maybe national back everybody. Better author although customer cultural.,1001,Cameras,Nikon,205.87,98.68,197,49,SUP094,,,True,2023-06-06,WH06
ELEC-000012,Samsung Five Camera,Relationship your your sell science. Across federal state situation identify.,1001,Cameras,Samsung,703.01,455.26,329,77,SUP031,,,True,2023-08-29,WH06
ELEC-000013,Asus Particularly Gaming,Pressure writer week tend dinner rich decide.,1001,Gaming,Asus,923.57,380.58,29,3,SUP086,26.01,,True,2023-02-22,WH03
ELEC-000014,Microsoft People Gaming,Reveal left social fine could show recently. Just table air catch them. Wall act special strong fund.,1001,Gaming,Microsoft,619.78,404.58,313,52,SUP131,35.47,,True,2023-09-13,WH06
ELEC-000015,Google Rich Gaming,Federal only nothing allow cause with yes. Picture owner part term woman daughter hospital. Hit little forget while police fight commercial.,1001,Gaming,Google,653.98,437.92,456,108,SUP007,13.35,199x149x148cm,True,2024-06-19,WH01
ELEC-000016,Sony Cost Accessorie,Major cost attorney white exist do process attorney.,1001,Accessories,Sony,1095.72,563.26,430,101,SUP009,35.06,,True,2022-08-12,WH07
ELEC-000017,Bose National TV,Force travel hospital writer.,1001,TVs,Bose,645.05,436.15,456,122,SUP187,,,True,2022-10-30,WH06
ELEC-000018,Nikon Kid Accessorie,Home tough deal that. It report little page voice. Data respond learn cut yard knowledge station painting.,1001,Accessories,Nikon,1437.19,804.74,289,49,SUP198,34.07,68x157x124cm,True,2023-03-08,WH04
ELEC-000019,Nikon Get Camera,Least office say explain thing lead red. Hospital statement sure indeed conference. Run leader treat contain notice hour watch dream.,1001,Cameras,Nikon,1415.15,893.46,370,52,SUP181,24.04,185x71x74cm,True,2025-01-20,WH07
ELEC-000020,Eye Smart Home,Factor trouble recently reveal describe management yeah. Building hard sense mean single improve close. Media left available reason see. Gas human create also economy remember.,1001,Smart Home,HP,1216.69,591.66,375,43,SUP114,37.39,,True,2022-11-07,WH05
ELEC-000021,Sony Religious Camera,Leave bar prevent require just likely evidence. Color adult beyond family. Scientist collection provide action event key concern.,1001,Cameras,Sony,1124.29,466.84,473,97,SUP164,,,True,2024-08-01,WH08
ELEC-000022,Walk Laptop,Kind answer play mission production. Hospital final appear above. Short up hear draw before instead.,1001,Laptops,Google,57.51,39.03,218,50,SUP122,10.05,83x74x166cm,True,2025-05-30,WH02
ELEC-000023,Green Audio Equipment,Determine think someone store. Right analysis mention spring.,1001,Audio Equipment,Nikon,12124.57,6369.83,438,59,SUP010,19.91,192x75x10cm,False,2023-05-30,WH02
ELEC-000024,Dell Produce Gaming,Debate must voice building degree ground community I. Activity defense detail price everything perhaps.,1001,Gaming,Dell,979.9,653.38,78,21,SUP120,,85x42x188cm,True,2022-07-29,WH05
ELEC-000025,Value TV,Feeling out work big movie wrong. Commercial where outside wonder recent question win.,1001,TVs,Apple,1196.61,750.5,99,21,SUP164,41.37,23x103x172cm,True,2024-07-10,WH03
ELEC-000026,Go Accessorie,Within project attack adult treatment large. Political discussion onto write discussion pattern to.,1001,Accessories,HP,59.9,31.99,146,42,SUP078,28.69,,True,2023-05-15,WH04
ELEC-000027,Google Sing Smartphone,People art hear father charge. Politics draw rise write kitchen. Care fish skin always social increase.,1001,Smartphones,Google,494.87,272.55,468,129,SUP198,5.96,76x95x158cm,True,2024-11-17,WH03
ELEC-000028,Sony Social Accessorie,Suggest former drug much trade.,1001,Accessories,Sony,1483.82,905.99,477,92,SUP138,41.3,175x194x153cm,True,2024-06-08,WH02
ELEC-000029,Energy Accessorie,Their miss contain picture ask man west appear. Voice by community nature.,1001,Accessories,Nikon,163.25,68.32,290,81,SUP052,7.58,134x114x30cm,True,2024-10-29,WH08
ELEC-000030,Nikon Democratic Laptop,Back right find return each computer eat. Office whose cut television loss.,1001,Laptops,Nikon,130.67,68.55,298,33,SUP119,15.48,,True,2025-04-18,WH01
ELEC-000031,Microsoft Here Audio Equipment,Cold kid measure same set standard. After high take serve TV organization check. Either less law heart.,1001,Audio Equipment,Microsoft,664.36,373.6,40,11,SUP018,23.66,,True,2024-04-05,WH03
ELEC-000032,Away Smart Home,Resource cultural trouble above. Room hear identify indeed house score himself. Political open impact although TV.,1001,Smart Home,HP,604.6,406.31,202,23,SUP170,6.74,31x46x138cm,True,2023-08-06,WH03
ELEC-000033,Others Audio Equipment,Several whatever side seem give. Play happy around history interest east local.,1001,Audio Equipment,Apple,1468.81,904.39,227,46,SUP059,,71x49x186cm,True,2025-03-16,WH01
ELEC-000034,High Smart Home,Recently population end. Want challenge easy official production claim bring. Popular true huge only. Million country institution stop.,1001,Smart Home,Microsoft,5915.05,2545.06,27,5,SUP173,2.53,103x113x60cm,True,2023-03-15,WH01
ELEC-000035,Five TV,Probably him final in then road become. Since general central see us huge final. Staff ability attorney recent.,1001,TVs,Nikon,389.53,223.14,305,66,SUP173,11.92,170x134x57cm,True,2024-01-07,WH05
ELEC-000036,Real Smartphone,Color hear region cup consider way. Note defense cut seek speak court work.,1001,Smartphones,Nikon,1325.59,779.18,228,48,SUP013,47.09,135x82x179cm,True,2025-01-21,WH03
ELEC-000037,Bose Let Camera,Body player bag beat by ask ahead doctor. Pull beyond article seem account old would. Decision social heart mind. Usually list front investment he.,1001,Cameras,Bose,830.0,388.11,449,108,SUP119,28.16,143x136x35cm,True,2025-02-10,WH05
ELEC-000038,HP Forward Audio Equipment,Professor her arm green form beyond. That I structure understand agent but most.,1001,Audio Equipment,HP,1387.23,593.37,380,101,SUP014,,155x11x19cm,True,2025-04-18,WH04
ELEC-000039,Society Accessorie,Later rather thank method produce about. Admit growth animal space for know.,1001,Accessories,LG,532.8,215.57,489,67,SUP190,,123x63x179cm,True,2024-04-06,WH04
ELEC-000040,LG Instead Smart Home,Give voice walk live. Safe family crime century. Then size respond all marriage beautiful strategy. Would level to western lot music during.,1001,Smart Home,LG,1174.5,657.83,193,31,SUP093,24.91,,True,2022-12-14,WH08
ELEC-000041,LG Yet Gaming,Itself respond civil upon. Short detail election live today but.,1001,Gaming,LG,650.2,303.24,84,8,SUP142,29.0,40x51x85cm,True,2022-11-06,WH04
ELEC-000042,Nikon Nor Accessorie,Somebody four difference office. Ask gas travel sea rise president size whom. Speak difference break because become scientist.,1001,Accessories,Nikon,1043.03,674.3,380,86,SUP126,36.67,36x185x140cm,True,2025-04-03,WH01
ELEC-000043,Size Smartphone,Happy table west officer ability artist movie. Woman floor half quickly someone mind.,1001,Smartphones,Samsung,1018.91,533.62,441,99,SUP018,0.56,96x16x159cm,True,2024-03-31,WH08
ELEC-000044,Apple Doctor Accessorie,Across system firm staff father despite. Challenge exist section support still alone floor.,1001,Accessories,Apple,5699.25,2749.44,156,16,SUP179,40.33,28x25x135cm,True,2023-12-13,WH04
ELEC-000045,HP Risk Camera,You religious long stock manager. Arrive special check respond summer various.,1001,Cameras,HP,625.5,326.39,299,44,SUP179,,21x168x167cm,True,2023-02-12,WH02
ELEC-000046,Bose Simply Smart Home,Task road federal spring.,1001,Smart Home,Bose,740.21,452.16,52,10,SUP112,16.63,25x136x11cm,True,2025-03-06,WH08
ELEC-000047,Collection Camera,Hot institution list give hot author risk.,1001,Cameras,Apple,1042.42,586.79,346,36,SUP081,,,True,2023-04-16,WH07
ELEC-000048,Dell Wind Laptop,Hour capital sell oil source sure report. Pressure officer kind lot today decide source.,1001,Laptops,Dell,398.68,206.02,469,97,SUP099,7.08,186x21x129cm,True,2023-01-11,WH06
ELEC-000049,Samsung Rather Smartphone,Rise offer question write challenge wear.,1001,Smartphones,Samsung,1266.08,798.52,498,109,SUP199,31.74,116x126x59cm,True,2023-09-22,WH07
ELEC-000050,Sony Thought Smart Home,Benefit wind conference appear. Practice order wide phone identify alone drive.,1001,Smart Home,Sony,1007.97,590.25,418,62,SUP019,,,True,2023-11-28,WH03
ELEC-000051,HP Rise Smart Home,Present heart reality somebody. Sing ten practice every. Happen build bar majority protect meeting. Only would look.,1001,Smart Home,HP,182.7,97.46,399,61,SUP034,,143x143x132cm,True,2024-07-10,WH01
ELEC-000052,HP Between Laptop,Himself yourself reflect fear. Between as training somebody. If red hour stage. Major million once research so buy send.,1001,Laptops,HP,915.54,603.45,16,2,SUP100,36.27,63x147x134cm,True,2025-05-04,WH07
ELEC-000053,Sony Water TV,Television receive accept language. But can deal claim none surface.,1001,TVs,Sony,439.19,197.71,151,27,SUP124,18.12,185x161x127cm,True,2022-07-19,WH04
ELEC-000054,Samsung Capital Accessorie,Hair name institution war a. Animal watch toward fall move. Officer reason mission worry.,1001,Accessories,Samsung,59.81,39.03,204,53,SUP085,21.59,167x153x35cm,True,2023-07-01,WH04
ELEC-000055,HP Nothing Accessorie,Reach production and already center. Whatever own democratic grow campaign. Instead near end power clear lay war put.,1001,Accessories,HP,627.45,389.31,334,66,SUP148,16.36,,True,2025-04-06,WH06
ELEC-000056,Microsoft Character Laptop,Audience run yet recent cover. Nor positive memory clearly start first. Her who easy establish mother range.,1001,Laptops,Microsoft,1496.03,942.93,23,6,SUP119,10.56,178x18x105cm,True,2023-08-30,WH03
ELEC-000057,LG Girl Camera,Training sing chair something event better. Her bit understand compare rock.,1001,Cameras,LG,273.51,140.34,239,71,SUP123,26.76,178x108x140cm,False,2023-05-12,WH06
ELEC-000058,Term Laptop,More red tend necessary. Between answer fish sell Congress south question small. Organization support local camera act message choice.,1001,Laptops,Samsung,1003.52,596.19,32,6,SUP166,20.04,111x28x3cm,True,2022-10-27,WH04
ELEC-000059,Canon Human Audio Equipment,Apply rise window religious eat. Industry leader keep government light expert weight minute. Figure teach water image fine.,1001,Audio Equipment,Canon,721.44,438.01,87,14,SUP007,14.84,22x30x187cm,True,2022-09-17,WH05
ELEC-000060,Base Gaming,War close arm sea never. Space action way quality usually carry marriage.,1001,Gaming,Canon,805.62,345.84,379,90,SUP082,,,True,2024-06-30,WH01
ELEC-000061,Google Research Gaming,If pattern treat second. Reflect see each school week statement. Range amount large collection us shake tough.,1001,Gaming,Google,1210.07,752.84,274,36,SUP041,21.38,104x162x48cm,True,2022-12-19,WH07
ELEC-000062,Hit Smart Home,Government anything many color wide full quickly. Surface tax face low enter able piece.,1001,Smart Home,Apple,1330.49,703.65,12,2,SUP053,,17x148x27cm,True,2023-08-16,WH03
ELEC-000063,HP Wind Gaming,Stay along leg pay major green past. Fear blue glass reveal I across.,1001,Gaming,HP,215.23,117.7,337,54,SUP100,29.39,118x159x45cm,True,2023-09-26,WH05
ELEC-000064,Google Decade Laptop,Method child buy maintain choose prevent difficult. Hear hair throughout movie especially writer.,1001,Laptops,Google,220.9,100.49,365,46,SUP100,6.98,48x125x163cm,True,2024-05-30,WH03
ELEC-000065,Canon Leg TV,Government its grow that. Book expect card inside former.,1001,TVs,Canon,321.29,188.22,453,77,SUP003,9.84,144x130x168cm,True,2022-07-15,WH08
ELEC-000066,Reflect Smart Home,Where work budget major many race camera. Maybe type successful home body blue.,1001,Smart Home,Lenovo,758.61,310.47,399,57,SUP009,,44x200x118cm,True,2022-07-04,WH08
ELEC-000067,Microsoft Clearly Laptop,Add range appear stop involve others account. Face magazine set easy check memory economic. Ten yes easy star.,1001,Laptops,Microsoft,1173.91,598.76,431,108,SUP195,27.36,27x189x168cm,True,2023-01-14,WH05
ELEC-000068,Canon Seat Smartphone,Particularly country talk pick chance build husband. Wrong upon international pattern before.,1001,Smartphones,Canon,1300.19,857.59,70,17,SUP061,,177x90x182cm,True,2022-08-05,WH07
ELEC-000069,Microsoft Involve TV,Record woman develop international article. Popular fight especially exactly go individual. Time consider a produce focus experience.,1001,TVs,Microsoft,349.6,146.07,189,39,SUP153,16.25,75x147x69cm,True,2023-04-14,WH02
ELEC-000070,Policy TV,Continue way hair fight best add. Side candidate guess special sea open painting.,1001,TVs,Asus,1382.21,912.42,74,17,SUP034,,64x195x174cm,True,2023-02-27,WH03
ELEC-000071,Google Fact Camera,Himself thought candidate sea build only treatment pressure. Cover knowledge better walk people.,1001,Cameras,Google,705.39,468.41,57,10,SUP192,,95x117x125cm,True,2023-05-07,WH01
ELEC-000072,Matter Laptop,Result analysis court nearly education theory table. Window thus large response treat attack industry.,1001,Laptops,Lenovo,970.52,635.72,417,86,SUP056,41.26,83x73x87cm,True,2025-03-27,WH03
ELEC-000073,Asus Most Accessorie,Out recent can animal.,1001,Accessories,Asus,3843.8,2441.45,245,25,SUP041,0.13,52x177x34cm,True,2024-02-21,WH05
ELEC-000074,Dell Study TV,Manager mouth message avoid just meeting. Single husband even contain civil design recent.,1001,TVs,Dell,572.63,343.21,342,45,SUP102,36.33,110x168x24cm,True,2025-01-29,WH01
